Key,SourceString
DefPal_SpaceElevator_Group_AssemblyDirectorSystem_Swatch_Name,Montage-Leitsystem
DefPal_SpaceElevator_Group_MagneticFieldGenerator_Swatch_Name,Magnetfeld-Generator
DefPal_SpaceElevator_Group_ThermalPropulsionRocket_Swatch_Name,Thermaler Raketenantrieb
DefPal_SpaceElevator_Group_NuclearPasta_Swatch_Name,Nukleare Pasta
DefPal_SpaceElevator_Group_BiochemicalSculptor_Swatch_Name,Biochemischer Modellierer
DefPal_SpaceElevator_Group_BallisticWarpDrive_Swatch_Name,Ballistischer Warpantrieb
DefPal_SpaceElevator_Group_AIExpansionServer_Swatch_Name,KI-Erweiterungsserver
DefPal_AmmosAndExplosives_Group_Name,Munition und Explosives
DefPal_AmmosAndExplosives_Group_IronRebar_Swatch_Name,Eisen-Armierstachel
DefPal_AmmosAndExplosives_Group_StunRebar_Swatch_Name,Betäubungs-Stachel
DefPal_AmmosAndExplosives_Group_ShatterRebar_Swatch_Name,Scherben-Stachel
DefPal_AmmosAndExplosives_Group_ExplosiveRebar_Swatch_Name,Explosions-Stachel
DefPal_AmmosAndExplosives_Group_RifleAmmo_Swatch_Name,Gewehrmunition
DefPal_AmmosAndExplosives_Group_HomingRifleAmmo_Swatch_Name,Zielsuch-Gewehrmunition
DefPal_AmmosAndExplosives_Group_TurboRifleAmmo_Swatch_Name,Turbo-Gewehrmunition
DefPal_AmmosAndExplosives_Group_Nobelisk_Swatch_Name,Nobelisk
DefPal_AmmosAndExplosives_Group_GasNobelisk_Swatch_Name,Gas-Nobelisk
DefPal_AmmosAndExplosives_Group_PulseNobelisk_Swatch_Name,Impuls-Nobelisk
DefPal_AmmosAndExplosives_Group_ClusterNobelisk_Swatch_Name,Splitter-Nobelisk
DefPal_AmmosAndExplosives_Group_NukeNobelisk_Swatch_Name,Nuklear-Nobelisk
DefPal_Equipements_Group_Name,Ausrüstung
DefPal_Equipements_Group_PortableMiner_Swatch_Name,Mobiler Miner
DefPal_Equipements_Group_GasFilter_Swatch_Name,Gasfilter
DefPal_Equipements_Group_IodineInfusedFilter_Swatch_Name,Jodfilter
DefPal_FaunaAndFlora_Group_Name,Fauna und Flora
DefPal_FaunaAndFlora_Group_Water_Swatch_Name,Wasser
DefPal_FaunaAndFlora_Group_PackagedWater_Swatch_Name,Verpacktes Wasser
DefPal_FaunaAndFlora_Group_Wood_Swatch_Name,Holz
DefPal_FaunaAndFlora_Group_Leaves_Swatch_Name,Blätter
DefPal_FaunaAndFlora_Group_Mycelia_Swatch_Name,Myzelium
DefPal_FaunaAndFlora_Group_Biomass_Swatch_Name,Biomasse
DefPal_FaunaAndFlora_Group_SolidBiofuel_Swatch_Name,Fester Biotreibstoff
DefPal_FaunaAndFlora_Group_LiquidBiofuel_Swatch_Name,Flüssiger Biotreibstoff
DefPal_FaunaAndFlora_Group_PackagedLiquidBiofuel_Swatch_Name,Verpackter flüssiger Biotreibstoff
DefPal_FaunaAndFlora_Group_BluePowerSlug_Swatch_Name,Blaue Elektroschnecke
DefPal_FaunaAndFlora_Group_YellowPowerSlug_Swatch_Name,Gelbe Elektroschnecke
DefPal_FaunaAndFlora_Group_PurplePowerSlug_Swatch_Name,Violette Elektroschnecke
DefPal_FaunaAndFlora_Group_PowerShard_Swatch_Name,Energiefragment
DefPal_FaunaAndFlora_Group_AlienProtein_Swatch_Name,Alien-Protein
DefPal_FaunaAndFlora_Group_AlienDNACapsule_Swatch_Name,Alien DNA-Kapsel
