Key,SourceString
DefPal_Aluminium_Group_AluminaSolution_Swatch_Name,Alumina Solution
DefPal_Aluminium_Group_PackagedAluminaSolution_Swatch_Name,Packaged Alumina Solution
DefPal_Aluminium_Group_AluminumScrap_Swatch_Name,Aluminum Scrap
DefPal_Aluminium_Group_AluminumIngot_Swatch_Name,Aluminum Ingot
DefPal_Aluminium_Group_AlcladAluminumSheet_Swatch_Name,Alclad Aluminum Sheet
DefPal_Aluminium_Group_AluminumCasing_Swatch_Name,Aluminum Casing
DefPal_Aluminium_Group_HeatSink_Swatch_Name,Heat Sink
DefPal_Aluminium_Group_EmptyFluidTank_Swatch_Name,Empty Fluid Tank
DefPal_Nitrogen_Group_Name,Nitrogen
DefPal_Nitrogen_Group_NitrogenGas_Swatch_Name,Nitrogen Gas
DefPal_Nitrogen_Group_PackagedNitrogenGas_Swatch_Name,Packaged Nitrogen Gas
DefPal_Nitrogen_Group_FusedModularFrame_Swatch_Name,Fused Modular Frame
DefPal_Nitrogen_Group_CoolingSystem_Swatch_Name,Cooling System
DefPal_Nitrogen_Group_NitricAcid_Swatch_Name,Nitric Acid
DefPal_Nitrogen_Group_PackagedNitricAcid_Swatch_Name,Packaged Nitric Acid
DefPal_Nitrogen_Group_RocketFuel_Swatch_Name,Rocket Fuel
DefPal_Nitrogen_Group_PackagedRocketFuel_Swatch_Name,Packaged Rocket Fuel
DefPal_Nitrogen_Group_IonizedFuel_Swatch_Name,Ionized Fuel
DefPal_Nitrogen_Group_PackagedIonizedFuel_Swatch_Name,Packaged Ionized Fuel
DefPal_Nitrogen_Group_PressureConversionCube_Swatch_Name,Pressure Conversion Cube
DefPal_Sulfur_Group_Name,Sulfur
DefPal_Sulfur_Group_Sulfur_Swatch_Name,Sulfur
DefPal_Sulfur_Group_CompactedCoal_Swatch_Name,Compacted Coal
DefPal_Sulfur_Group_BlackPowder_Swatch_Name,Black Powder
DefPal_Sulfur_Group_SmokelessPowder_Swatch_Name,Smokeless Powder
DefPal_Sulfur_Group_SulfuricAcid_Swatch_Name,Sulfuric Acid
DefPal_Sulfur_Group_PackagedSulfuricAcid_Swatch_Name,Packaged Sulfuric Acid
DefPal_Sulfur_Group_Battery_Swatch_Name,Battery
DefPal_Uranium_Group_Name,Uranium
DefPal_Uranium_Group_Uranium_Swatch_Name,Uranium
DefPal_Uranium_Group_EncasedUraniumCell_Swatch_Name,Encased Uranium Cell
DefPal_Uranium_Group_ElectromagneticControlRod_Swatch_Name,Electromagnetic Control Rod
DefPal_Uranium_Group_UraniumFuelRod_Swatch_Name,Uranium Fuel Rod
DefPal_Uranium_Group_UraniumWaste_Swatch_Name,Uranium Waste
DefPal_Uranium_Group_NonFissileUranium_Swatch_Name,Non-fissile Uranium
DefPal_Uranium_Group_PlutoniumPellet_Swatch_Name,Plutonium Pellet
DefPal_Uranium_Group_EncasedPlutoniumCell_Swatch_Name,Encased Plutonium Cell
DefPal_Uranium_Group_PlutoniumFuelRod_Swatch_Name,Plutonium Fuel Rod
DefPal_Uranium_Group_PlutoniumWaste_Swatch_Name,Plutonium Waste
DefPal_SAM_Group_Name,SAM
DefPal_SAM_Group_SAM_Swatch_Name,SAM
DefPal_SAM_Group_ReanimatedSAM_Swatch_Name,Reanimated SAM
DefPal_SAM_Group_SAMFluctuator_Swatch_Name,SAM Fluctuator
DefPal_SAM_Group_FicsiteIngot_Swatch_Name,Ficsite Ingot
DefPal_SAM_Group_FicsiteTrigon_Swatch_Name,Ficsite Trigon
DefPal_Electronics_Group_Name,Electronics
DefPal_Electronics_Group_AILimiter_Swatch_Name,AI Limiter
DefPal_Electronics_Group_CircuitBoard_Swatch_Name,Circuit Board
DefPal_Electronics_Group_HighSpeedConnector_Swatch_Name,High-Speed Connector
DefPal_Electronics_Group_Computer_Swatch_Name,Computer
DefPal_Electronics_Group_Supercomputer_Swatch_Name,Supercomputer
DefPal_Electronics_Group_RadioControlUnit_Swatch_Name,Radio Control Unit
DefPal_Electronics_Group_TurboMotor_Swatch_Name,Turbo Motor
DefPal_Electronics_Group_CrystalOscillator_Swatch_Name,Crystal Oscillator
DefPal_Electronics_Group_SuperpositionOscillator_Swatch_Name,Superposition Oscillator
DefPal_QuantumTechnology_Group_Name,Quantum Technology
DefPal_QuantumTechnology_Group_Diamonds_Swatch_Name,Diamonds
DefPal_QuantumTechnology_Group_TimeCrystal_Swatch_Name,Time Crystal
DefPal_QuantumTechnology_Group_DarkMatterCrystal_Swatch_Name,Dark Matter Crystal
DefPal_QuantumTechnology_Group_DarkMatterResidue_Swatch_Name,Dark Matter Residue
DefPal_QuantumTechnology_Group_ExcitedPhotonicMatter_Swatch_Name,Excited Photonic Matter
DefPal_QuantumTechnology_Group_SingularityCell_Swatch_Name,Singularity Cell
DefPal_QuantumTechnology_Group_NeuralQuantumProcessor_Swatch_Name,Neural-Quantum Processor
DefPal_QuantumTechnology_Group_AlienPowerMatrix_Swatch_Name,Alien Power Matrix
DefPal_QuantumTechnology_Group_Ficsonium_Swatch_Name,Ficsonium
DefPal_QuantumTechnology_Group_FicsoniumFuelRod_Swatch_Name,Ficsonium Fuel Rod
DefPal_SpaceElevator_Group_Name,Space Elevator
DefPal_SpaceElevator_Group_SmartPlating_Swatch_Name,Smart Plating
DefPal_SpaceElevator_Group_VersatileFramework_Swatch_Name,Versatile Framework
DefPal_SpaceElevator_Group_AutomatedWiring_Swatch_Name,Automated Wiring
DefPal_SpaceElevator_Group_ModularEngine_Swatch_Name,Modular Engine
DefPal_SpaceElevator_Group_AdaptiveControlUnit_Swatch_Name,Adaptive Control Unit
DefPal_SpaceElevator_Group_AssemblyDirectorSystem_Swatch_Name,Assembly Director System
DefPal_SpaceElevator_Group_MagneticFieldGenerator_Swatch_Name,Magnetic Field Generator
DefPal_SpaceElevator_Group_ThermalPropulsionRocket_Swatch_Name,Thermal Propulsion Rocket
DefPal_SpaceElevator_Group_NuclearPasta_Swatch_Name,Nuclear Pasta
DefPal_SpaceElevator_Group_BiochemicalSculptor_Swatch_Name,Biochemical Sculptor
DefPal_SpaceElevator_Group_BallisticWarpDrive_Swatch_Name,Ballistic Warp Drive
DefPal_SpaceElevator_Group_AIExpansionServer_Swatch_Name,AI Expansion Server
DefPal_AmmosAndExplosives_Group_Name,Ammos and Explosives
DefPal_AmmosAndExplosives_Group_IronRebar_Swatch_Name,Iron Rebar
DefPal_AmmosAndExplosives_Group_StunRebar_Swatch_Name,Stun Rebar
DefPal_AmmosAndExplosives_Group_ShatterRebar_Swatch_Name,Shatter Rebar
DefPal_AmmosAndExplosives_Group_ExplosiveRebar_Swatch_Name,Explosive Rebar
DefPal_AmmosAndExplosives_Group_RifleAmmo_Swatch_Name,Rifle Ammo
DefPal_AmmosAndExplosives_Group_HomingRifleAmmo_Swatch_Name,Homing Rifle Ammo
DefPal_AmmosAndExplosives_Group_TurboRifleAmmo_Swatch_Name,Turbo Rifle Ammo
DefPal_AmmosAndExplosives_Group_Nobelisk_Swatch_Name,Nobelisk
DefPal_AmmosAndExplosives_Group_GasNobelisk_Swatch_Name,Gas Nobelisk
DefPal_AmmosAndExplosives_Group_PulseNobelisk_Swatch_Name,Pulse Nobelisk
DefPal_AmmosAndExplosives_Group_ClusterNobelisk_Swatch_Name,Cluster Nobelisk
DefPal_AmmosAndExplosives_Group_NukeNobelisk_Swatch_Name,Nuke Nobelisk
DefPal_Equipements_Group_Name,Equipements
DefPal_Equipements_Group_PortableMiner_Swatch_Name,Portable Miner
DefPal_Equipements_Group_GasFilter_Swatch_Name,Gas Filter
DefPal_Equipements_Group_IodineInfusedFilter_Swatch_Name,Iodine-Infused Filter
DefPal_FaunaAndFlora_Group_Name,Fauna and Flora
DefPal_FaunaAndFlora_Group_Water_Swatch_Name,Water
DefPal_FaunaAndFlora_Group_PackagedWater_Swatch_Name,Packaged Water
DefPal_FaunaAndFlora_Group_Wood_Swatch_Name,Wood
DefPal_FaunaAndFlora_Group_Leaves_Swatch_Name,Leaves
DefPal_FaunaAndFlora_Group_Mycelia_Swatch_Name,Mycelia
DefPal_FaunaAndFlora_Group_Biomass_Swatch_Name,Biomass
DefPal_FaunaAndFlora_Group_SolidBiofuel_Swatch_Name,Solid Biofuel
DefPal_FaunaAndFlora_Group_LiquidBiofuel_Swatch_Name,Liquid Biofuel
DefPal_FaunaAndFlora_Group_PackagedLiquidBiofuel_Swatch_Name,Packaged Liquid Biofuel
DefPal_FaunaAndFlora_Group_BluePowerSlug_Swatch_Name,Blue Power Slug
DefPal_FaunaAndFlora_Group_YellowPowerSlug_Swatch_Name,Yellow Power Slug
DefPal_FaunaAndFlora_Group_PurplePowerSlug_Swatch_Name,Purple Power Slug
DefPal_FaunaAndFlora_Group_PowerShard_Swatch_Name,Power Shard
DefPal_FaunaAndFlora_Group_AlienProtein_Swatch_Name,Alien Protein
DefPal_FaunaAndFlora_Group_AlienDNACapsule_Swatch_Name,Alien DNA Capsule
