Key,SourceString
DefPal_Caterium_Group_Quickwire_Swatch_Name,Cable Rápido
DefPal_Quartz_Group_Name,Cuarzo
DefPal_Quartz_Group_RawQuartz_Swatch_Name,Cuarzo Crudo
DefPal_Quartz_Group_QuartzCrystal_Swatch_Name,Cristal de Cuarzo
DefPal_Quartz_Group_Silica_Swatch_Name,Sílice
DefPal_Quartz_Group_DissolvedSilica_Swatch_Name,Sílice Disuelta
DefPal_Oil_Group_Name,Petróleo
DefPal_Oil_Group_CrudeOil_Swatch_Name,Petróleo Crudo
DefPal_Oil_Group_PackagedOil_Swatch_Name,Petróleo Envasado
DefPal_Oil_Group_Plastic_Swatch_Name,Plástico
DefPal_Oil_Group_Rubber_Swatch_Name,Goma
DefPal_Oil_Group_HeavyOilResidue_Swatch_Name,Residuo de Petróleo Pesado
DefPal_Oil_Group_PackagedHeavyOilResidue_Swatch_Name,Residuo de Petróleo Pesado Envasado
DefPal_Oil_Group_PolymerResin_Swatch_Name,Resina Polimérica
DefPal_Oil_Group_Fuel_Swatch_Name,Combustible
DefPal_Oil_Group_PackagedFuel_Swatch_Name,Combustible Envasado
DefPal_Oil_Group_Turbofuel_Swatch_Name,Turbocombustible
DefPal_Oil_Group_PackagedTurbofuel_Swatch_Name,Turbocombustible Envasado
DefPal_Oil_Group_EmptyCanister_Swatch_Name,Lata Vacía
DefPal_Oil_Group_PetroleumCoke_Swatch_Name,Coque de Petróleo
DefPal_Oil_Group_Fabric_Swatch_Name,Tela
DefPal_Aluminium_Group_Name,Aluminio
DefPal_Aluminium_Group_Bauxite_Swatch_Name,Bauxita
DefPal_Aluminium_Group_AluminaSolution_Swatch_Name,Solución de Alúmina
DefPal_Aluminium_Group_PackagedAluminaSolution_Swatch_Name,Solución de Alúmina Envasada
DefPal_Aluminium_Group_AluminumScrap_Swatch_Name,Chatarra de Aluminio
DefPal_Aluminium_Group_AluminumIngot_Swatch_Name,Lingote de Aluminio
DefPal_Aluminium_Group_AlcladAluminumSheet_Swatch_Name,Hoja de Aluminio Alclad
DefPal_Aluminium_Group_AluminumCasing_Swatch_Name,Carcasa de Aluminio
DefPal_Aluminium_Group_HeatSink_Swatch_Name,Disipador de Calor
DefPal_Aluminium_Group_EmptyFluidTank_Swatch_Name,Tanque de Fluido Vacío
DefPal_Nitrogen_Group_Name,Nitrógeno
DefPal_Nitrogen_Group_NitrogenGas_Swatch_Name,Gas de Nitrógeno
DefPal_Nitrogen_Group_PackagedNitrogenGas_Swatch_Name,Gas de Nitrógeno Envasado
DefPal_Nitrogen_Group_FusedModularFrame_Swatch_Name,Marco Modular Fusionado
DefPal_Nitrogen_Group_CoolingSystem_Swatch_Name,Sistema de Refrigeración
DefPal_Nitrogen_Group_NitricAcid_Swatch_Name,Ácido Nítrico
DefPal_Nitrogen_Group_PackagedNitricAcid_Swatch_Name,Ácido Nítrico Envasado
DefPal_Nitrogen_Group_RocketFuel_Swatch_Name,Combustible para Cohetes
DefPal_Nitrogen_Group_PackagedRocketFuel_Swatch_Name,Combustible para Cohetes Envasado
DefPal_Nitrogen_Group_IonizedFuel_Swatch_Name,Combustible Ionizado
DefPal_Nitrogen_Group_PackagedIonizedFuel_Swatch_Name,Combustible Ionizado Envasado
DefPal_Nitrogen_Group_PressureConversionCube_Swatch_Name,Cubo de Conversión de Presión
DefPal_Sulfur_Group_Name,Azufre
DefPal_Sulfur_Group_Sulfur_Swatch_Name,Azufre
DefPal_Sulfur_Group_CompactedCoal_Swatch_Name,Carbón Compactado
DefPal_Sulfur_Group_BlackPowder_Swatch_Name,Pólvora Negra
DefPal_Sulfur_Group_SmokelessPowder_Swatch_Name,Pólvora Sin Humo
DefPal_Sulfur_Group_SulfuricAcid_Swatch_Name,Ácido Sulfúrico
DefPal_Sulfur_Group_PackagedSulfuricAcid_Swatch_Name,Ácido Sulfúrico Envasado
DefPal_Sulfur_Group_Battery_Swatch_Name,Batería
DefPal_Uranium_Group_Name,Uranio
DefPal_Uranium_Group_Uranium_Swatch_Name,Uranio
DefPal_Uranium_Group_EncasedUraniumCell_Swatch_Name,Célula de Uranio Encapsulada
DefPal_Uranium_Group_ElectromagneticControlRod_Swatch_Name,Varilla de Control Electromagnética
DefPal_Uranium_Group_UraniumFuelRod_Swatch_Name,Varilla de Combustible de Uranio
DefPal_Uranium_Group_UraniumWaste_Swatch_Name,Residuos de Uranio
DefPal_Uranium_Group_NonFissileUranium_Swatch_Name,Uranio No Fisible
DefPal_Uranium_Group_PlutoniumPellet_Swatch_Name,Pellet de Plutonio
DefPal_Uranium_Group_EncasedPlutoniumCell_Swatch_Name,Célula de Plutonio Encapsulada
DefPal_Uranium_Group_PlutoniumFuelRod_Swatch_Name,Varilla de Combustible de Plutonio
DefPal_Uranium_Group_PlutoniumWaste_Swatch_Name,Residuos de Plutonio
DefPal_SAM_Group_Name,MAR
DefPal_SAM_Group_SAM_Swatch_Name,MAR
DefPal_SAM_Group_ReanimatedSAM_Swatch_Name,MAR Reanimado
DefPal_SAM_Group_SAMFluctuator_Swatch_Name,Fluctuador de MAR
DefPal_SAM_Group_FicsiteIngot_Swatch_Name,Lingote de Ficsita
DefPal_SAM_Group_FicsiteTrigon_Swatch_Name,Trigón de Ficsita
DefPal_Electronics_Group_Name,Electrónica
DefPal_Electronics_Group_AILimiter_Swatch_Name,Limitador de IA
DefPal_Electronics_Group_CircuitBoard_Swatch_Name,Placa de Circuito
DefPal_Electronics_Group_HighSpeedConnector_Swatch_Name,Conector de Alta Velocidad
DefPal_Electronics_Group_Computer_Swatch_Name,Ordenador
DefPal_Electronics_Group_Supercomputer_Swatch_Name,Superordenador
DefPal_Electronics_Group_RadioControlUnit_Swatch_Name,Unidad de Control de Radio
DefPal_Electronics_Group_TurboMotor_Swatch_Name,Motor Turbo
DefPal_Electronics_Group_CrystalOscillator_Swatch_Name,Oscilador de Cristal
DefPal_Electronics_Group_SuperpositionOscillator_Swatch_Name,Oscilador de Superposición
DefPal_QuantumTechnology_Group_Name,Tecnología Cuántica
DefPal_QuantumTechnology_Group_Diamonds_Swatch_Name,Diamantes
DefPal_QuantumTechnology_Group_TimeCrystal_Swatch_Name,Cristal de Tiempo
DefPal_QuantumTechnology_Group_DarkMatterCrystal_Swatch_Name,Cristal de Materia Oscura
DefPal_QuantumTechnology_Group_DarkMatterResidue_Swatch_Name,Residuo de Materia Oscura
DefPal_QuantumTechnology_Group_ExcitedPhotonicMatter_Swatch_Name,Materia Fotónica Excitada
DefPal_QuantumTechnology_Group_SingularityCell_Swatch_Name,Célula de Singularidad
DefPal_QuantumTechnology_Group_NeuralQuantumProcessor_Swatch_Name,Procesador Neuro-Cuántico
DefPal_QuantumTechnology_Group_AlienPowerMatrix_Swatch_Name,Matriz de Energía Alienígena
DefPal_QuantumTechnology_Group_Ficsonium_Swatch_Name,Ficsonio
DefPal_QuantumTechnology_Group_FicsoniumFuelRod_Swatch_Name,Barra de Combustible de Ficsonio
DefPal_SpaceElevator_Group_Name,Ascensor Espacial
DefPal_SpaceElevator_Group_SmartPlating_Swatch_Name,Placa Inteligente
DefPal_SpaceElevator_Group_VersatileFramework_Swatch_Name,Estructura Versátil
DefPal_SpaceElevator_Group_AutomatedWiring_Swatch_Name,Cableado Automatizado
DefPal_SpaceElevator_Group_ModularEngine_Swatch_Name,Motor Modular
DefPal_SpaceElevator_Group_AdaptiveControlUnit_Swatch_Name,Unidad de Control Adaptativa
DefPal_SpaceElevator_Group_AssemblyDirectorSystem_Swatch_Name,Sistema de Dirección de Ensamblaje
DefPal_SpaceElevator_Group_MagneticFieldGenerator_Swatch_Name,Generador de Campo Magnético
DefPal_SpaceElevator_Group_ThermalPropulsionRocket_Swatch_Name,Cohete de Propulsión Térmica
DefPal_SpaceElevator_Group_NuclearPasta_Swatch_Name,Pasta Nuclear
DefPal_SpaceElevator_Group_BiochemicalSculptor_Swatch_Name,Escultor Bioquímico
DefPal_SpaceElevator_Group_BallisticWarpDrive_Swatch_Name,Motor de Distorsión Balística
DefPal_SpaceElevator_Group_AIExpansionServer_Swatch_Name,Servidor de Expansión de IA
DefPal_AmmosAndExplosives_Group_Name,Municiones y Explosivos
DefPal_AmmosAndExplosives_Group_IronRebar_Swatch_Name,Barra de Hierro
DefPal_AmmosAndExplosives_Group_StunRebar_Swatch_Name,Barra Aturdidora
DefPal_AmmosAndExplosives_Group_ShatterRebar_Swatch_Name,Barra Fragmentadora
DefPal_AmmosAndExplosives_Group_ExplosiveRebar_Swatch_Name,Barra Explosiva
DefPal_AmmosAndExplosives_Group_RifleAmmo_Swatch_Name,Munición de Rifle
DefPal_AmmosAndExplosives_Group_HomingRifleAmmo_Swatch_Name,Munición de Rifle Teledirigida
DefPal_AmmosAndExplosives_Group_TurboRifleAmmo_Swatch_Name,Munición de Rifle Turbo
DefPal_AmmosAndExplosives_Group_Nobelisk_Swatch_Name,Nobelisco
DefPal_AmmosAndExplosives_Group_GasNobelisk_Swatch_Name,Nobelisco de Gas
DefPal_AmmosAndExplosives_Group_PulseNobelisk_Swatch_Name,Nobelisco de Pulso
DefPal_AmmosAndExplosives_Group_ClusterNobelisk_Swatch_Name,Nobelisco de Racimo
DefPal_AmmosAndExplosives_Group_NukeNobelisk_Swatch_Name,Nobelisco Nuclear
DefPal_Equipements_Group_Name,Equipo
DefPal_Equipements_Group_PortableMiner_Swatch_Name,Taladro Portátil
DefPal_Equipements_Group_GasFilter_Swatch_Name,Filtro de Gas
DefPal_Equipements_Group_IodineInfusedFilter_Swatch_Name,Filtro de Yodo
DefPal_FaunaAndFlora_Group_Name,Fauna y Flora
DefPal_FaunaAndFlora_Group_Water_Swatch_Name,Agua
DefPal_FaunaAndFlora_Group_PackagedWater_Swatch_Name,Agua Envasada
DefPal_FaunaAndFlora_Group_Wood_Swatch_Name,Madera
DefPal_FaunaAndFlora_Group_Leaves_Swatch_Name,Hojas
DefPal_FaunaAndFlora_Group_Mycelia_Swatch_Name,Micelios
DefPal_FaunaAndFlora_Group_Biomass_Swatch_Name,Biomasa
DefPal_FaunaAndFlora_Group_SolidBiofuel_Swatch_Name,Biocombustible Sólido
DefPal_FaunaAndFlora_Group_LiquidBiofuel_Swatch_Name,Biocombustible Líquido
DefPal_FaunaAndFlora_Group_PackagedLiquidBiofuel_Swatch_Name,Biocombustible Líquido Envasada
DefPal_FaunaAndFlora_Group_BluePowerSlug_Swatch_Name,Electrobabosa Azul
DefPal_FaunaAndFlora_Group_YellowPowerSlug_Swatch_Name,Electrobabosa Amarilla
DefPal_FaunaAndFlora_Group_PurplePowerSlug_Swatch_Name,Electrobabosa Morada
DefPal_FaunaAndFlora_Group_PowerShard_Swatch_Name,Esquirla de Energía
DefPal_FaunaAndFlora_Group_AlienProtein_Swatch_Name,Proteína Alienígena
DefPal_FaunaAndFlora_Group_AlienDNACapsule_Swatch_Name,Cápsula de ADN de Alienígena
